muni,muniLabel,district,districtLabel,properties,object,population
http://www.wikidata.org/entity/Q65792,Hofstetten,http://www.wikidata.org/entity/Q644300,Winterthur District,57,91,500
http://www.wikidata.org/entity/Q67907,Stadel bei Niederglatt,http://www.wikidata.org/entity/Q660407,Dielsdorf district,57,75,2271
http://www.wikidata.org/entity/Q68390,Schlatt bei Winterthur,http://www.wikidata.org/entity/Q644300,Winterthur District,57,82,730
http://www.wikidata.org/entity/Q70171,Benken,http://www.wikidata.org/entity/Q660721,Andelfingen District,57,69,857
http://www.wikidata.org/entity/Q68457,Rickenbach,http://www.wikidata.org/entity/Q644300,Winterthur District,57,80,2655
http://www.wikidata.org/entity/Q68417,Henggart,http://www.wikidata.org/entity/Q660721,Andelfingen District,56,73,2256
http://www.wikidata.org/entity/Q65841,Hittnau,http://www.wikidata.org/entity/Q660395,Pfäffikon District,56,80,3613
http://www.wikidata.org/entity/Q67912,Lufingen,http://www.wikidata.org/entity/Q680996,Bülach District,56,72,2373
http://www.wikidata.org/entity/Q67922,Volken,http://www.wikidata.org/entity/Q660721,Andelfingen District,56,70,337
http://www.wikidata.org/entity/Q67920,Niederglatt,http://www.wikidata.org/entity/Q660407,Dielsdorf district,56,69,4917
http://www.wikidata.org/entity/Q68413,Kleinandelfingen,http://www.wikidata.org/entity/Q660721,Andelfingen District,56,74,2077
http://www.wikidata.org/entity/Q70264,Oberweningen,http://www.wikidata.org/entity/Q660407,Dielsdorf district,56,73,1797
http://www.wikidata.org/entity/Q70375,Weisslingen,http://www.wikidata.org/entity/Q660395,Pfäffikon District,56,77,3301
http://www.wikidata.org/entity/Q68447,Humlikon,http://www.wikidata.org/entity/Q660721,Andelfingen District,56,72,486
http://www.wikidata.org/entity/Q67346,Wildberg,http://www.wikidata.org/entity/Q660395,Pfäffikon District,55,70,994
http://www.wikidata.org/entity/Q66662,Sternenberg,http://www.wikidata.org/entity/Q660395,Pfäffikon District,54,170,
http://www.wikidata.org/entity/Q66093,Weiningen,http://www.wikidata.org/entity/Q180792,Dietikon District,53,71,4760
http://www.wikidata.org/entity/Q65779,Kyburg,http://www.wikidata.org/entity/Q660395,Pfäffikon District,52,225,405
http://www.wikidata.org/entity/Q65789,Bertschikon bei Attikon,http://www.wikidata.org/entity/Q644300,Winterthur District,45,62,
